Company Name,Location,Owner,Email,Phone,Address,Website,Founded,Industry,Services,Notes
808 CNC INC.,HUNTINGTON,,,,,,,CNC Machining,,No information found in public records
A B & D MACHINING INC,BELMONT,,,,,,,Machining,,No information found in public records
A J PRECISION INC,SOUTHWICK,,,(413) 568-9099,13C Industrial Rd. Southwick MA 01077,www.ajprecision.com,,Precision Machining,High tolerance precision parts for aerospace commercial medical power and industrial sectors,
A&R MACHINING TOOL&DIE INC,NEW BEDFORD,Tom Anthony,,(508) 985-0916,259 Samuel Barnet Blvd # C New Bedford MA 02745,a-rsettingtools.com,2002,Machining/Tool & Die,Precision machining/fabrication services A&R Eyelet and Grommet Setting Tools,South coast Massachusetts
AA PRECISION MACHINE CO INC,FALL RIVER,Arthur Arruda,(508) 673-1698,(508) 673-1698,300 Currant Rd Fall River MA 02720,aaprecisionmachine.com,1966,Precision Machining,CNC machining milling turning drilling grinding welding precision molds CAD/CAM services,
ACCURATE MACHINING & FABRICATION INC,IPSWICH,,,(978) 356-0878,56 Turnpike Rd Ipswich MA 01938,shore.net,,Machining/Fabrication,Precision engineering spacious workshop with state-of-the-art machinery diverse machining needs,Experienced technicians meticulous attention to detail
ACE PRECISION INC,AGAWAM,Tony Elias,,(413) 789-7536,17 Ace Precision Way Agawam MA 01001,aceprecision.com,1980,Precision Machining,Precision machining for aerospace and commercial industries,ISO9001/AS9100 certified
ACKCNC INC,CENTERVILLE,,,,,,,CNC Machining,,No information found in public records
ADVANCED PRECISION ENGINEERING INC,IPSWICH,,info@ape10.com,(978) 356-7303,16 Mitchell Road Ipswich MA 01938,www.ape10.com,,Precision Engineering,Machining and assembly manufacturing for defense medical optics robotics semiconductor,ISO AS9100D 9001:2015 ITAR registered
ADVANCED PRECISION PRODUCTS INC.,ATTLEBORO,,,,,,,Precision Products,,No exact match found - Precision Engineered Products exists at 110 Frank Mossberg Dr (508) 226-5600
ALMEIDA PRECISION MACHINING INC,MEDWAY,Brian Almeida,,(508) 533-6455,9 Bellanova Way Medway MA 02053,,2007,Precision Machining,,
AMERICAN FLOWFORM & MACHINING LLC,BILLERICA,,DCorga@Americanflowform.com,(978) 667-0202,12 Suburban Park Drive Billerica MA 01821,www.americanflowform.com,,Flowform/Machining,World leader in advanced cold metal forming of precision components for military aerospace oil/gas,
AP MACHINING LLC,SOUTH HADLEY,Douglas Cervonayco,,,61 North Chicopee Street Chicopee MA 01020,,,Machining,General Machine Shop with CNC and manual machines,Actually located in Chicopee per records
AP PRECISION MACHINE INC,HOLLISTON,Family-owned,Sales@ap-pmi.com,(508) 384-5081,210 Kuniholm Dr. BLD #2 STE #1 Holliston MA 01746,ap-pmi.com,,Precision Machining,18+ years in CNC manufacturing industry family-owned and operated,When you contact them you speak directly with the owner
ARETE CNC INC,ACUSHNET,,,,,,,CNC Machining,,No specific contact info found - Brady Martin listed as Manufacturing Engineer
ARMSTRONG MACHINING LLC,BEVERLY,Ray Armstrong,,(978) 232-9466,117 Elliott St. No. 3 Beverly MA 01915,www.armstrongmachining.com,,Machining,High-quality precision custom machining services for product development prototypes to low volume production,Male owned business 16+ employees
ARSENAULT PRECISION LLC,LEOMINSTER,Gerald J. Arsenault,,,52 Old Willard Rd. Leominster MA 01453,,,Precision Manufacturing,Wire EDM shop with 39 years experience of mold making specializing in 4 axis wire edming of collapsible cores,Custom manufacturing capabilities
ATLAS PP MACHINING,LOWELL,Carlos Castro,,,,,2016,Machining,CNC milling and CNC lathe/turning services for oil and gas automotive aerospace medical electronic mining power plants steel and paper mills shipbuilding,35+ years experience
ATLAS PP MACHINING INC,LOWELL,Carlos Castro,,,,atlasmachininginc.com,2016,Machining,Well-equipped machine shop precision prototype and production manufacturing CNC services,Founded by Carlos Castro with 35+ years CNC experience
AUBE PRECISION TOOL CO INC,LUDLOW,Mike and Mark Elkhay,,(413) 589-9048,54 Moody Street Ludlow MA 01056,aubetool.com,1980,Precision Tools,High quality precision machined parts and assemblies using high tech CNC machining centers,Aerospace Commercial Machine Food Firearms
AUTUMN PRECISION LLC,WESTHAMPTON,,,,,,,Precision Manufacturing,,No information found in public records
AXIS CNC INCORPORATED,WARE,Daniel Larzazs,,,39 Gould Rd Ware MA 01082,www.axiscncinc.net,2011,CNC Machining,Advanced manufacturing machining and programming services rapid prototyping short-run and high-volume machining,14 employees serving Central/Western MA since 2011
B & C TOOLING CO INC,WHITMAN,John Barr,,(781) 447-5292,844 Bedford St Whitman MA 02382,,1984,Tooling,Machine Shop,38+ years in business 3 employees
B & D PRECISION INC,STONEHAM,Dennis Dillon,,(781) 438-8644,41 Elm Street # 7 Stoneham MA 02180,,Tool & Die/Precision Manufacturing,Precision micro TIG and micro laser welding repair and machining,30+ years design experience 15+ years solid modeling
BAK PRECISION INC,LUDLOW,,,,,,,Precision Manufacturing,,No information found in public records
BAYSIDE MACHINING SERVICE INC,MATTAPOISETT,,,,,11 Industrial Dr Mattapoisett MA 02739,,Machining Services,Precision machining CNC machining milling turning,Owner/phone/email not found in public records
BAYSIDE MACHINING SERVICE INC.,MATTAPOISETT,,,,,,,Machining Services,,
BENCO PRECISON MACHINING INC,GLOUCESTER,Ron Benjamin,,(978) 281-2055,10 Pond Rd # B Gloucester MA 01930,,1988,Precision Machining,Machine Shops Automobile Machine Shop,35 years in business 6 employees BBB A+ rating
BERKSHIRE PRECISION GRINDING INC,WESTFIELD,,,(413) 568-7297,36 Mechanic Street Westfield MA 01085,,Precision Grinding,Aerospace and general machining complex grinding operations,
BLACKSTONE VALLEY MACHINING LLC,HOPEDALE,Trevor Schneider,,,14B Airport Road Hopedale MA 01747,,Machining,Production machinery CNC milling CNC turning welding,Manager and owner
BMF PRECISION INC.,MAYNARD,,info@bmf3d.com,(978) 637-2050,8 Mill & Main Suite 310 Maynard MA 01754,bmf3d.com,2016,Precision Manufacturing,Micro precision 3D printing PμSL technology,Boston Micro Fabrication leading industrial 3D printing 2000+ customers
BOSTON LASERS PRECISION CUT LLC,AMESBURY,,,,,16 S Hunt Rd Unit 6 Amesbury MA 01913,bostonlasers.com,Laser Cutting,Precision laser cutting engraving marking CNC router cutting,Most accurate laser cutting tables PO Box 527 Northwood NH 03261
BRISTOL PRECISION INC.,MARLBOROUGH,Devin,devin@bristolprecision.com,(508) 481-8166,66 B Brigham St Marlborough MA 01572,bristolprecision.com,2014,Precision Manufacturing,CNC machining prototypes and production parts,Owner has ME degree from Lafayette MBA from Babson College Mon-Fri 7am-5pm
BROOKS PRECISION MACHINING INC,CHELMSFORD,Charles B. Brooks,chuck@brooks-machine.com,(978) 256-7477,4 Kidder Road Chelmsford MA 01824,www.brooks-mfg.com,,Precision Machining,Machine Shop Jobbing and Repair 40 years in operation,~$1.9 million annual revenue ~10 employees
BROTHERS MACHINING CORP,MANSFIELD,,,(774) 284-4971,125 High St Unit 9 Mansfield MA 02048,brothersmachining.com,,Machining,CNC machining aluminum and plastics Patulak-Brothers Machining,30+ years trusted supplier medical pharmaceutical instrumentation security semiconductor
BTD PRECISION INC,CHICOPEE,,,,,75 Marion Street Chicopee MA 01013,,1985,Precision Manufacturing,Special Dies and Tools,Company closed - owner retired 2021 auction
CARTESIAN CNC INC.,WINCHESTER,,,,,,,CNC Machining,,No information found in public records
CNC MILL SPEC INC,HAVERHILL,Dustin Ciampa,cncmillspec@gmail.com,(978) 377-7193,65 Avco Road Unit M Haverhill MA 01835,cncmillspec.com,,CNC Milling,Large and small CNC machined parts and weldments precision to 0.0001 inch,Direct phone (603) 571-4325
CNC MILL SPEC INC.,HAVERHILL,Dustin Ciampa,cncmillspec@gmail.com,(978) 377-7193,65 Avco Road Unit M Haverhill MA 01835,cncmillspec.com,,CNC Milling,Large and small CNC machined parts and weldments precision to 0.0001 inch,Direct phone (603) 571-4325 DUPLICATE ENTRY
COMMAND PRECISION INC,BURLINGTON,,info@Persistent.id,(888) 367-6911,100 Summit Drive Suite 100 Burlington MA 01803,commandprecision.com,,Data Solutions,Identity and Intent data solutions,Data company not traditional machining
CONCEPT MACHINING INC,NORTH BILLERICA,Robert Bob Volpe,bob@conceptmachininginc.com,(978) 663-4999,25 Sullivan Road North Billerica MA 01862,conceptmachininginc.com,2000,Machining,Production and Prototype Machine Shop specializing in Milling and Turning,State-of-the-art facilities 3-5 staff
CONCEPT TOOLING INC,WORCESTER,Steven Hebert,info@concepttoolingma.com,(508) 754-6466,65 Milton St Worcester MA,concepttoolingma.com,,Tooling,CNC machining precision parts Computer Aerospace Electronics Semiconductor,State-of-the-art machinery milling turning drilling
CUSTOM PLASTICS MACHINING INC.,WOBURN,Daniel Smith,,(781) 937-9700,9 Presidential Way Ste D Woburn MA 01801,,1999,Plastics Machining,Machine Shop Jobbing And Repair,CEO Daniel Smith
D & D PRECISION MACHINE COMPANY INC.,MIDDLEBORO,David DeMoranville,,(508) 946-8010,395 Plymouth Street Middleboro MA 02346,ddprecisionmachineinc.com,2003,Precision Machining,Centerless Grinding CNC Machining Milling Turning,President 23000 sq ft facility 25 employees ISO 9001-2015 certified
D&D PRECISION MACHINE COMPANY INC,MIDDLEBORO,David DeMoranville,,(508) 946-8010,395 Plymouth Street Middleboro MA 02346,ddprecisionmachineinc.com,2003,Precision Machining,Centerless Grinding CNC Machining Milling Turning,President 23000 sq ft facility 25 employees ISO 9001-2015 certified DUPLICATE ENTRY
DIMARK PRECISION MACHINING,PEMBROKE,James Porter - President,,(781) 826-6157,745 Washington Street Pembroke MA 02359,dimarkprecision.com,1992,Precision Machining,Quality precision machining & finishing job shop,14 employees 8400 sq ft facility acquired Radii Precision in 2010
DIVERSIFIED MACHINING INC,HUDSON,Phil Holman,info@diversifiedmachining.org,(978) 562-2213,1A Bonazzoli Suite 4 Hudson MA 01749,marketing.diversifiedmachining.org,1967,Machining,CNC manual machining weapon spec welding painting,50+ years experience DFAR compliant ISO certification in process
DOUGHERTY PRECISION INC,AGAWAM,,,,,81 Ramah Cir S Agawam MA 01001,,Precision Manufacturing,Custom precision machining services,Owner/phone/email not found in public records
DRC PRECISION MACHINING CO INC,STONEHAM,,,,,,,Precision Machining,Cutlery and Handtool Manufacturing,3 employees $220376 annual sales - contact info not found
DUVAL PRECISION GRINDING INC.,CHICOPEE,,,,,,,Precision Grinding,,
E & D MACHINING INC,BILLERICA,,,,,,,Machining,,
EAST COAST MACHINING SOLUTIONS INC,WESTBOROUGH,,,,,,,Machining Solutions,,
EASTHAMPTON PRECISION MANUFACTUR ING INC,EASTHAMPTON,,,,,,,Precision Manufacturing,,
ECLIPSE PRECISION MACHINING LLC,HOPEDALE,,,,,,,Precision Machining,,
ENDWELL MACHINING INC,SUTTON,,,,,,,Machining,,
ETNA MACHINING INC.,DRACUT,,,,,,,Machining,,
EURO PRECISION INCORPORATED,ASHLEY FALLS,,,,,,,Precision Manufacturing,,
FALCON PRECISION MACHINING COMPANY INC,LUDLOW,,,,,,,Precision Machining,,
FALCON PRECISION MACHINING COMPANY INC.,LUDLOW,,,,,,,Precision Machining,,
FILTEC PRECISION CERAMIC CORP,WESTFORD,,,,,,,Precision Ceramics,,
FILTEC PRECISION CERAMICS CORPORATION,WESTFORD,,,,,,,Precision Ceramics,,
FRAEN MACHINING CORPORATION,READING,,FMCsales@fraen.com,(781) 205-5400,324 New Boston Street Woburn MA 01801,www.fraen.com,1942,Machining,Precision-turned metal components time-keeping components,Parent company established 1942 65 employees $10.11M sales
FRAEN MACHINING SRL HOLDING CORPORATION,READING,,,,,,,Machining Holdings,,
G & F PRECISION MOLDING,FISKDALE,,,,,,,Precision Molding,,
G & W PRECISION INC,WHATELY,,,,,,,Precision Manufacturing,,
GDJR MACHINING INC,LEOMINSTER,,,,,,,Machining,,
GUTTEMBERG PRECISION MACHINING INC.,BEVERLY,,,,,,,Precision Machining,,
HELBLING PRECISION ENGINEERING INC,CAMBRIDGE,,,,,,,Precision Engineering,,
HIGH PERFORMANCE TOOLING INC,ASHLAND,,,,,,,High Performance Tooling,,
INDUSTRIAL PRECISION INC,WESTFIELD,,,,,,,Industrial Precision,,
INIRAM PRECISION MACHINE TOOL INC,WALTHAM,,,,,,,Precision Machine Tools,,
INIRAM PRECISION MACHINE TOOL INC.,WALTHAM,,,,,,,Precision Machine Tools,,
INNOVATIVE TOOLING COMPANY INC,LENOX,,,,,,,Innovative Tooling,,
INTERFACE PRECISION BENCHWORKS INC,ORANGE,,,,,,,Precision Benchworks,,
J W MACHINING INC,HUDSON,,,,,,,Machining,,
J. P. PRECISION MACHINE CO INC,CHICOPEE,,,,,,,Precision Machining,,
J. P. PRECISION MACHINE CO. INC.,CHICOPEE,,,,,,,Precision Machining,,
JACOBS PRECISION CORP,AVON,,,,,,,Precision Manufacturing,,
JB PRECISION LLC,WORTHINGTON,,,,,,,Precision Manufacturing,,
JEMM PRECISION TECHNOLOGIES INC,FALL RIVER,,,,,,,Precision Technologies,,
JRS PRECISION MACHINE&DESIGN L.L.C,MIDDLEBORO,,,,,,,Precision Machine Design,,
KEYSTONE PRECISION & ENGINEERING INC,PEPPERELL,,,,,,,Precision Engineering,,
KMAC MACHINING LLC,BROCKTON,,,,,,,Machining,,
KODIAK MACHINING CO INC,IPSWICH,,,,,,,Machining,,
L G M TOOLING CO INC,MERRIMAC,,,,,,,Tooling,,
LAMANNA PRECISION INC,LEOMINSTER,,,,,,,Precision Manufacturing,,
LINCOLN PRECISION MACHINING CO.,NORTH GRAFTON,,,,,,,Precision Machining,,
MACHINING FOR ELECTRONICS INC,BOLTON,,,,,,,Electronics Machining,,
MACHINING TECHNOLOGIES LLC,WEBSTER,,,,,,,Machining Technologies,,
MAGICHANICS PRECISION INC,NEWTON CENTER,,,,,,,Precision Manufacturing,,
MAGICHANICS PRECISION INC,STOW,,,,,,,Precision Manufacturing,,
MATERION PRECISION OPTICS & THIN FILM COATINGS INC,WESTFORD,,,,,,,Precision Optics/Coatings,,
MB MACHINING INC,WESTBOROUGH,,,,,,,Machining,,
MIKES PRECISION MACHINE INC,BILLERICA,,,,,,,Precision Machining,,
MOHAWK PRECISION INC.,WARE,,,,,,,Precision Manufacturing,,
