Company Name,Location,Owner,Email,Phone,Address,Website,Founded,Industry,Services,Notes,
R & M PRECISION MACHINE CO. I,FALL RIVER,,,,,,,Precision Machining,,,
PRECISION MACHINISTS COMPANY INC,CHELMSFORD,Dirk Kuyper (President),dirk@precisionmachinists.net,(978) 256-4592,299 Littleton Road Chelmsford MA 01824,precisionmachinists.net,1973,Machining,Custom precision CNC machining services prototyping high volume production 7 employees,ISO9001 AS9100C ITAR certified aerospace defense semiconductor medical device industries,
ADVANCED PRECISION PRODUCTS INC.,ATTLEBORO,Too big,,,,,,Precision Products,,No exact match found - Precision Engineered Products exists at 110 Frank Mossberg Dr (508) 226-5600,
STERLING PRECISION LLC,CLINTON,Acquired by Vitesse Systems,See contact,See contact,90 Parker St Clinton MA 01510,sterlingprecisioninc.com,See notes,Precision Manufacturing,CNC machining aluminum dip brazing aerospace military industries - acquired by Vitesse Systems,Young aggressive manufacturing company 10+ years manufacturing excellence,
PRECISIONARY INSTRUMENTS LLC,ASHLAND,WAY TOO BIG,,,,,,Instruments,,,
BAK PRECISION INC,LUDLOW,,,,,,,Precision Manufacturing,,No information found in public records,
BRISTOL PRECISION INC.,MARLBOROUGH,Devin,devin@bristolprecision.com,(508) 481-8166,66 B Brigham St Marlborough MA 01572,bristolprecision.com,2014,Precision Manufacturing,CNC machining prototypes and production parts,Owner has ME degree from Lafayette MBA from Babson College Mon-Fri 7am-5pm,
Phone: (413) 461-5355
CONCEPT TOOLING INC,WORCESTER,Steven Hebert,info@concepttoolingma.com,(508) 754-6466,65 Milton St Worcester MA,concepttoolingma.com,,Tooling,CNC machining precision parts Computer Aerospace Electronics Semiconductor,State-of-the-art machinery milling turning drilling,
J. P. PRECISION MACHINE CO. INC.,CHICOPEE,Judy A Poetz - Owner,,(413) 594-4193,25 Grape St Chicopee MA 01013,,,Precision Machining,Aerospace and defense industries manufacturing and assembly,DUPLICATE ENTRY - 44 years woman-owned,
PEERLESS PRECISION INC,WESTFIELD,Kristin Maier-Carlson - President/Owner,info@peerlessprecision.com,(413) 562-2359,22 Mainline Dr Westfield MA 01085,peerlessprecision.com,40+ years,Precision Manufacturing,Aerospace defense medical devices 3-5 axis milling turning grinding AS9100 ISO9001 ITAR registered fax (413) 562-2351,Woman-owned small business 20 employees tolerances to 0.000005,
TALCO CNC SOLUTIONS INC,INDIAN ORCHARD,Thomas LeMay (Owner/CEO),See website,See contact,34 Front St Indian Orchard MA 01151 PO Box 51973,talcocnc.com,2013,CNC Solutions,Exclusive importer Spinner Machinery USA distributor Eurotech Swiss machines New England CNC repair sales training,4 staff members $387K revenue,
JACOBS PRECISION CORP,AVON,Ralph S Jacobs,info@jacobsprecision.com,(508) 588-2121,21 Ledin Drive Avon Industrial Park MA 02322,jacobsprecision.com,,Precision Manufacturing,CNC Swiss screw machine precision components military medical dental aerospace electronics,Fax (508) 588-2144 fiber optics machine tools microwave communications,
ECLIPSE PRECISION MACHINING LLC,HOPEDALE,Russell Wigen (Managing Member),,(847) 258-3774,1640 Jarvis Avenue Elk Grove Village IL 60007,eclipsepm.us,,Precision Machining,Contract manufacturer precision machining parts and assemblies,Location discrepancy - Thomasnet lists Hopedale MA but company shows IL address,
A&R MACHINING TOOL&DIE INC,NEW BEDFORD,Tom Anthony,Armachining97@gmail.com,(508) 985-0916,259 Samuel Barnet Blvd # C New Bedford MA 02745,a-rsettingtools.com,2002,Machining/Tool & Die,Precision machining/fabrication services A&R Eyelet and Grommet Setting Tools,South coast Massachusetts,
GUTTEMBERG PRECISION MACHINING INC.,BEVERLY,,,,,,,Precision Machining,,No information found in public records - possible name confusion with Iowa company,
ALMEIDA PRECISION MACHINING INC,MEDWAY,Brian Almeida,,(508) 533-6455,9 Bellanova Way Medway MA 02053,,2007,Precision Machining,,,
LINCOLN PRECISION MACHINING CO.,NORTH GRAFTON,David Hallen - President Richard Hallen - VP,questions@lincoln-precision.com,(508) 839-2175,121 Creeper Hill Rd North Grafton MA 01536 PO Box 458,lincoln-precision.com,1949,Precision Machining,Cable and web strap ratchet winch hoists machined castings metal assemblies fax (508) 839-4729,Family-owned business made in USA contributes 10% profits to charity,
BERKSHIRE PRECISION GRINDING INC,WESTFIELD,,,See contact,(413) 568-7297,36 Mechanic Street Westfield MA 01085,,Precision Grinding,Aerospace and general machining complex grinding operations complex critical grinding operations on all types of metals and nonferrous materials,Owner/email not found in public records,
BROOKS PRECISION MACHINING INC,CHELMSFORD,Charles B. Brooks,chuck@brooks-machine.com,(978) 256-7477,4 Kidder Road Chelmsford MA 01824,www.brooks-mfg.com,,Precision Machining,Machine Shop Jobbing and Repair 40 years in operation,~$1.9 million annual revenue ~10 employees,
